Company Name,Symbol,Industry,Series,Open,High,Low,Previous Close,Last Traded Price,Change,Percentage Change,Share Volume,Value (Indian Rupee),52 Week High,52 Week Low,365 Day Percentage Change,30 Day Percentage Change
Great Eastern Shipping Co. Ltd.,GESHIP,Services,EQ,395.75,398.9,385,395.6,390.25,-5.35,-1.35,120133,46909533.84,445,265,1.74,-0.39
General Insurance Corporation of India,GICRE,Financial Services,EQ,114.1,116.4,114.1,115.2,115.95,0.75,0.65,90066,10390013.76,211.5,105,-44.75,-3.6
Gland Pharma Ltd.,GLAND,Healthcare,EQ,2710,2710,2637.4,2701.7,2641,-60.7,-2.25,129469,344517009,4350,2495.15,-21.1,-5.57
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,Healthcare,EQ,1505,1527,1499,1499.6,1499,-0.6,-0.04,54631,82318537.11,1918.75,1450,-0.17,-0.8
Glenmark Pharmaceuticals Ltd.,GLENMARK,Healthcare,EQ,385.2,395,382,386.35,395,8.65,2.24,398227,155165168.3,690.95,348.5,-40.79,-1.83
Glenmark Life Sciences Ltd.,GLS,Healthcare,EQ,441,444.5,440,444.3,441.8,-2.5,-0.56,15000,6619500,799,410,-,4.96
GMM Pfaudler Ltd.,GMMPFAUDLR,Capital Goods,EQ,4355,4372,4300.05,4345.6,4330,-15.6,-0.36,14737,64042138.79,5295,3770,-7.22,3.63
GMR Infrastructure Ltd.,GMRINFRA,Services,EQ,34,34.75,33.6,34.1,34.5,0.4,1.17,4338629,148337725.5,49.15,27.35,7.23,-10.26
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC,Chemicals,EQ,566,582,563.25,571.8,580.5,8.7,1.52,1199375,687769600,912,314.1,51.59,-14.11
Go Fashion (India) Ltd.,GOCOLORS,Consumer Services,EQ,990,999.5,980,993.45,988.5,-4.95,-0.5,6325,6258208,1339.9,847.3,-,0.84
Godfrey Phillips India Ltd.,GODFRYPHLP,Fast Moving Consumer Goods,EQ,1089,1089,1042.65,1059.15,1061.35,2.2,0.21,12787,13588233.42,1408.75,933,7.91,-8.16
Godrej Agrovet Ltd.,GODREJAGRO,Fast Moving Consumer Goods,EQ,503.85,507.65,500.6,506.95,502,-4.95,-0.98,22224,11190895.2,746.8,441,-20.06,-5.71
Godrej Consumer Products Ltd.,GODREJCP,Fast Moving Consumer Goods,EQ,757.05,785,750.55,757.55,782.95,25.4,3.35,743399,571740736.9,1138,660.05,-12.95,-1.23
Godrej Industries Ltd.,GODREJIND,Fast Moving Consumer Goods,EQ,433.85,435.65,424,433.85,426,-7.85,-1.81,59044,25182856.44,662,405,-24.07,-9.29
Godrej Properties Ltd.,GODREJPROP,Realty,EQ,1167,1233.45,1167,1182.95,1226,43.05,3.64,776473,937738677.4,2598,1129.55,-15.37,-15.47
Gujarat Pipavav Port Ltd.,GPPL,Services,EQ,75.95,78.5,74.5,77.1,78.25,1.15,1.49,679600,51744744,119,70.3,-31.62,-3.99
Granules India Ltd.,GRANULES,Healthcare,EQ,272.1,279.75,268.9,272.25,278.2,5.95,2.19,879548,242684884.2,404.8,226.95,-18.14,0.85
Graphite India Ltd.,GRAPHITE,Capital Goods,EQ,391,393.1,383.2,393.05,388.75,-4.3,-1.09,176151,68404717.83,754,350,-38.33,-11.49
Grasim Industries Ltd.,GRASIM,Construction Materials,EQ,1320,1350,1305.3,1320.75,1345.7,24.95,1.89,516506,686565600.5,1929.8,1276.6,-11.88,-7.55
Grindwell Norton Ltd.,GRINDWELL,Capital Goods,EQ,1676.6,1703.05,1645.15,1683.05,1680,-3.05,-0.18,15338,25625196.6,2018.35,1161,35.52,-1.81
